2020-08-14 01:09:39,122 | BaseDB.py | INFO  | 程序开始时间：2020-08-14 01:09:39.120834
2020-08-14 01:19:21,849 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-14 01:19:21,850 | BaseDB.py | INFO  | 程序结束时间：2020-08-14 01:19:21.849719
2020-08-14 01:19:21,850 | BaseDB.py | INFO  | 程序执行用时：0:00:00.319210s
2020-08-14 01:19:21,850 | BaseDB.py | INFO  | ********************
2020-08-14 01:22:10,341 | BaseDB.py | INFO  | 程序开始时间：2020-08-14 01:22:10.340899
2020-08-14 01:22:10,381 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 01:22:10,386 | BaseDB.py | INFO  | 写入到账信息
2020-08-14 01:22:10,390 | BaseDB.py | INFO  | 没有匹配到新信息！
2020-08-14 01:22:10,390 | BaseDB.py | INFO  | 写入验证码短信
2020-08-14 01:22:10,552 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-14 01:22:10,553 | BaseDB.py | INFO  | 程序结束时间：2020-08-14 01:22:10.553042
2020-08-14 01:22:10,553 | BaseDB.py | INFO  | 程序执行用时：0:00:00.212143s
2020-08-14 01:22:10,554 | BaseDB.py | INFO  | ********************
2020-08-14 01:32:44,949 | BaseDB.py | INFO  | 程序开始时间：2020-08-14 01:32:44.948466
2020-08-14 01:32:44,994 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 01:32:44,999 | BaseDB.py | INFO  | 写入到账信息
2020-08-14 01:32:45,004 | BaseDB.py | INFO  | 没有匹配到新信息！
2020-08-14 01:32:45,004 | BaseDB.py | INFO  | 写入验证码短信
2020-08-14 01:32:46,332 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-14 01:32:46,333 | BaseDB.py | INFO  | 程序结束时间：2020-08-14 01:32:46.333387
2020-08-14 01:32:46,333 | BaseDB.py | INFO  | 程序执行用时：0:00:01.384921s
2020-08-14 01:32:46,333 | BaseDB.py | INFO  | ********************
2020-08-14 01:34:08,311 | BaseDB.py | INFO  | 程序开始时间：2020-08-14 01:34:08.310769
2020-08-14 01:34:08,353 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 01:34:08,357 | BaseDB.py | INFO  | 写入到账信息
2020-08-14 01:34:08,361 | BaseDB.py | INFO  | 没有匹配到新信息！
2020-08-14 01:34:08,361 | BaseDB.py | INFO  | 写入验证码短信
2020-08-14 01:34:09,708 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-14 01:34:09,709 | BaseDB.py | INFO  | 程序结束时间：2020-08-14 01:34:09.709696
2020-08-14 01:34:09,710 | BaseDB.py | INFO  | 程序执行用时：0:00:01.398927s
2020-08-14 01:34:09,710 | BaseDB.py | INFO  | ********************
2020-08-14 04:19:37,076 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:19:37,214 | BaseDB.py | ERROR | expected string or bytes-like object
2020-08-14 04:19:37,215 | BaseDB.py | ERROR | 运行错误，联系开发者
2020-08-14 04:21:16,877 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:22:27,374 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:26:13,516 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:26:14,392 | BaseDB.py | INFO  | 写入到账信息
2020-08-14 04:27:15,670 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:27:16,616 | BaseDB.py | INFO  | 写入到账信息
2020-08-14 04:28:47,157 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:28:48,051 | BaseDB.py | INFO  | 写入验证码短信
2020-08-14 04:28:48,238 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-14 04:31:09,870 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:31:10,804 | BaseDB.py | INFO  | 写入验证码短信
2020-08-14 04:31:10,988 | BaseDB.py | INFO  | 数据重复，没有新信息！
2020-08-14 04:32:10,225 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:32:11,098 | BaseDB.py | INFO  | 写入到账信息
2020-08-14 04:32:11,662 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-14 04:32:11,662 | BaseDB.py | INFO  | 写入验证码短信
2020-08-14 04:32:12,224 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-14 04:35:44,085 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-14 04:35:44,217 | BaseDB.py | INFO  | 连接数据库...
2020-08-14 04:35:44,975 | BaseDB.py | INFO  | 连接数据库成功,数据写入中...
2020-08-14 04:35:44,976 | BaseDB.py | INFO  | 写入到账信息
2020-08-14 04:35:45,161 | BaseDB.py | INFO  | 数据重复，没有新信息！
2020-08-14 04:35:45,162 | BaseDB.py | INFO  | 写入验证码短信
2020-08-14 04:35:45,354 | BaseDB.py | INFO  | 数据重复，没有新信息！
2020-08-14 04:35:45,354 | BaseDB.py | INFO  | 数据写入完毕，关闭数据库连接!
