车型ID,车辆型号,图片,车系ID,车系名称,车系名称,车系别称,年份,生产状态,销售状态,,论坛,车辆级别,外观颜色,厂商指导价,参考价,优惠幅度,保修政策,排量,发动机,,档位,变速箱类型,最高车速km/h,,,年份,车身型式,动力类型,车长/mm,车宽/mm,车高/mm,轴距/mm,整车质量/kg,座位数,行李箱容积/L,邮箱容积/L,前轮胎规格,后轮胎规格,备胎,保修政策,,,,,,,,行李箱容积/L,,,,,排量/ml,排量/L,最大功率/kW,最大马力/Ps,最大功率转速,最大扭矩,最大扭矩转速,发送机型式,发动机缸数,发动机方式,供油方式,,燃油标号,发动机启停,变速箱类型,档位个数,最高车速,0-100km/h加速时间[s],混合工况油耗[L/100km],环保标准,,,,,,,,,,,,,,,,,,,,驱动方式,前悬挂类型,后悬挂类型,可调悬挂,前轮制动类型,后轮制动类型,驻车制动类型,车体结构,限滑差速器/差速锁,,,,,,,,,,,,防抱死ABS,制动力分配(EBD/CBC等),制动辅助(BA/EBA等),牵引力控制(ASR/TCS等),车身稳定控制(ESP/DSC等),主驾驶安全气囊,副驾驶安全气囊,前侧气囊,后侧气囊,侧安全气帘,膝部气囊,安全带气囊,后排中央气囊,胎压监测,零胎压续行轮胎,后排儿童座椅接口,定速巡航,车道保持,碰撞报警/主动刹车,疲劳提醒,自动泊车,遥控泊车,自动驾驶辅助,自动驻车,上坡辅助,陡坡缓降,夜视系统,可变齿比转向,前倒车雷达,后倒车雷达,倒车影像,驾驶模式选择,,前大灯,LED日间行车灯,自动大灯,前雾灯,大灯功能,天窗类型,前电动车窗,后电动车窗,外后视镜电动调节,,内后视镜自动防眩目,流媒体内后视镜,流媒体外后视镜,外后视镜自动防眩目,隐私玻璃,前雨刷器,后雨刷器,电吸门,电动侧滑门,电动行李厢,车顶行李架,中控锁,智能钥匙,远程遥控功能,,,,,内饰材质,车内氛围灯,遮阳板化妆镜,方向盘材质,多功能方向盘,方向盘调节,方向盘加热,方向盘换挡,前排空调,后排空调,,,,,座椅材质,运动风格座椅,主座椅电动调节,副座椅电动调节,主座椅调节方式,副座椅调节方式,第二排座椅电动调节,第二排座椅调节方式,前排座椅功能,后排座椅功能,前排中央扶手,后排中央扶手,第三排座椅,座椅放倒方式,后排杯架,后排折叠桌板,中控彩色液晶屏,全液晶仪表盘,行车电脑显示屏,HUD平视显示,GPS导航,,车载APP应用,手机互联(Carplay&Android),手机无线充电,手势控制系统,CD/DVD,蓝牙/WIFI连接,外接接口,,音响品牌,"扬声器数量[个] 
",,车载220V电源,液晶屏尺寸 ,,,
124905,Coupe,https://img4.bitautoimg.com/autoalbum/files/20190822/303/20190822001004104211_2.jpg,2623,奥迪S5,奥迪S5,aodis5,2017,在产,在销,,http://baa.bitauto.com/s-club/,中型车,"纳瓦拉蓝,#0933A9|月光蓝,#0a263b|米索斯黑,#0e181a|眩目黑,#11020c|斯科巴蓝,#134a7f|哥特兰绿,#1a342e|曼哈顿灰,#303338|阿格斯棕,#5f5249|天云灰,#616569|季风灰,#636c6e|量子灰,#6c6a65|探戈红,#781625|斗牛士红,#812533|花剑银,#95969a|白金色,#c5c2b5|冰川白,#d7dcd6|米萨诺红,#e43532|朱鹭白,#f9f9f5|日光橙,#ff7707",62.28万,44.51-71.88万,20.21万,3年或10万公里,3,涡轮增压,,8,手自一体,250,30,6,2017,三厢,汽油,4702,1846,1331,2770,1770,4,465,58,255/35 R19,255/35 R19,非全尺寸,3年或10万公里,,,,,,,,,,,,,2995,3,260,354,5400-6400,500,1370-4500,V型,6,涡轮增压,直喷,,95号,有,手自一体,8,250,4.7,8.2,国五,,,,,,,,,,,,,,,,,,,,全时四驱,多连杆式独立悬架,多连杆式独立悬架,选配|13600,通风盘,盘式,电子驻车,承载式,中央,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,"定速巡航,ACC自适应巡航|0",选配,选配|5600,无,选配|3800,无,无,有,有,无,无,选配|13800,有,有,后方影像,有,选配,LED,有,"自动开闭,自动远近光",有,"高度调节,大灯清洗",单天窗,有,无,"电动调节,电动折叠,后视镜加热",,有,有,选配|5800,无,无,感应雨刷,无,无,无,电动开合,无,遥控中控,"智能进入,无钥匙启动",无,无,无,无,无,皮质,无,有,皮质,有,"上下调节,前后调节",无,有,双温区自动空调,手动空调,无,有,无,无,皮质,有,带记忆电动调节,带记忆电动调节,"靠背调节,高低调节,腰部调节,前后调节","靠背调节,高低调节,腰部调节,前后调节",无,无,"加热,按摩","无,加热|3200",有,有,无,按比例放倒,有,无,普通液晶屏,有,有,选配|13600,GPS导航,有,无,"CarPlay,CarLife",无,无,单碟dvd,蓝牙,"AUX,SD卡槽",无,B＆O,12个以上,无,无,,无,有,无
124906,Cabriolet,https://img3.bitautoimg.com/autoalbum/files/20190821/287/2019082122202920291191_2.jpg,2623,奥迪S5,奥迪S5,aodis5,2017,在产,在销,,http://baa.bitauto.com/s-club/,中型车,"纳瓦拉蓝,#0933A9|月光蓝,#0a263b|米索斯黑,#0e181a|眩目黑,#11020c|斯科巴蓝,#134a7f|哥特兰绿,#1a342e|曼哈顿灰,#303338|阿格斯棕,#5f5249|天云灰,#616569|季风灰,#636c6e|量子灰,#6c6a65|探戈红,#781625|斗牛士红,#812533|花剑银,#95969a|白金色,#c5c2b5|冰川白,#d7dcd6|米萨诺红,#e43532|朱鹭白,#f9f9f5|日光橙,#ff7707",69.88万,51.30-80.38万,21.42万,3年或10万公里,3,涡轮增压,,8,手自一体,250,30,6,2017,敞篷车,汽油,4702,1846,1351,2700,1945,4,380,58,255/35 R19,255/35 R19,非全尺寸,3年或10万公里,,,,,,,,,,,,,2995,3,260,354,5400-6400,500,1370-4500,V型,6,涡轮增压,直喷,,95号,有,手自一体,8,250,4.7,8.7,国五,,,,,,,,,,,,,,,,,,,,全时四驱,多连杆式独立悬架,多连杆式独立悬架,选配|13600,通风盘,盘式,电子驻车,承载式,中央,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,"定速巡航,ACC自适应巡航|0",选配,选配|5600,无,选配|3800,无,无,有,有,无,无,选配|13800,有,有,后方影像,有,选配,LED,有,"自动开闭,自动远近光",有,"高度调节,大灯清洗",无,有,无,"电动调节,电动折叠,后视镜加热",,有,有,无,无,无,感应雨刷,无,无,无,电动开合,无,遥控中控,"智能进入,无钥匙启动",无,无,无,无,无,皮质,无,有,皮质,有,"上下调节,前后调节",无,有,双温区自动空调,手动空调,无,有,无,无,皮质,有,带记忆电动调节,带记忆电动调节,"靠背调节,高低调节,腰部调节,前后调节","靠背调节,高低调节,腰部调节,前后调节",无,无,"加热,按摩","无,加热|3200",有,无,无,按比例放倒,无,无,普通液晶屏,有,有,选配|13600,GPS导航,有,无,"CarPlay,CarLife",无,无,单碟dvd,蓝牙,"AUX,SD卡槽",无,B＆O,12个以上,无,无,,无,有,无
138390,2.9T Sportback,https://img2.bitautoimg.com/autoalbum/files/20200501/300/20200501002328232814933_2.jpg,2847,奥迪RS 5,奥迪RS 5,rs5,2019,在产,在销,,http://baa.bitauto.com/audirs5/,中型车,"传奇黑,#000000|米索斯黑,#000000|纳瓦拉蓝,#1c3074|索诺马绿,#273c2a|迈阿密蓝,#4EACDF|天云灰,#6E6E70|纳多灰,#838D97|花剑银,#CBD1D7|维加斯黄,#dfb455|米萨诺红,#E52B2C|橙色,#e8512e|冰川白,#ffffff",84.68万,67.29-84.68万,,3年或10万公里,2.9,涡轮增压,,8,手自一体,250,7,3,2020,掀背车,汽油,4782,1866,1399,2766,,5,480,58,265/35 R19,265/35 R19,非全尺寸,3年或10万公里,,,,,,,,,,,11.5,,2894,2.9,331,450,5700-6700,600,1900-5000,V型,6,涡轮增压,直喷,,95号,有,手自一体,8,250,3.9,9.1,国六,,,,,,,,,,,,,,,,,,,,全时四驱,多连杆式独立悬架,多连杆式独立悬架,有,通风盘,通风盘,电子驻车,承载式,中央,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,"定速巡航,ACC自适应巡航|0",选配,选配,无,无,无,无,有,有,无,无,有,有,有,后方影像,有,有,LED,有,"自动开闭,自动远近光,自动转向",无,"高度调节,大灯清洗",单天窗,有,有,"电动调节,电动折叠,后视镜记忆,后视镜加热",,有,有,选配,无,无,感应雨刷,无,无,无,"电动开合,自动感应|0",无,遥控中控,"无钥匙启动,智能进入|0",无,无,有,无,无,"塑料,皮质,金属,碳纤维",有,有,皮质,有,"上下调节,前后调节",无,有,双温区自动空调,自动空调,无,无,无,无,皮质,有,带记忆电动调节,电动调节,"靠背调节,高低调节,腰部调节,腿托调节,前后调节","靠背调节,高低调节,腰部调节,腿托调节,前后调节",无,无,"加热,按摩","无,加热|0",有,有,无,按比例放倒,有,无,普通液晶屏,有,有,有,GPS导航,有,语音控制,"CarPlay,CarLife",无,无,单碟cd,蓝牙,"AUX,USB,SD卡槽",无,"无,B＆O|0","9-12,12个以上|0",无,无,8.3,无,有,无
124897,2.9T Coupe,https://img3.bitautoimg.com/autoalbum/files/20200409/744/202004092037103710179276_2.jpg,2847,奥迪RS 5,奥迪RS 5,rs5,2019,在产,在销,,http://baa.bitauto.com/audirs5/,中型车,"传奇黑,#000000|米索斯黑,#000000|纳瓦拉蓝,#1c3074|索诺马绿,#273c2a|迈阿密蓝,#4EACDF|天云灰,#6E6E70|纳多灰,#838D97|花剑银,#CBD1D7|维加斯黄,#dfb455|米萨诺红,#E52B2C|橙色,#e8512e|冰川白,#ffffff",86.98万,73.93-86.98万,13.05万,3年或10万公里,2.9,涡轮增压,,8,手自一体,250,29,3,2019,三厢,汽油,4723,1866,1372,2766,1780,4,465,58,265/35 R19,265/35 R19,非全尺寸,3年或10万公里,,,,,,,,,,,11.5,,2894,2.9,331,450,5700-6700,600,1900-5000,V型,6,涡轮增压,直喷,,95号,有,手自一体,8,250,3.9,9.4,国六,,,,,,,,,,,,,,,,,,,,全时四驱,多连杆式独立悬架,多连杆式独立悬架,有,通风盘,通风盘,电子驻车,承载式,中央,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,"定速巡航,ACC自适应巡航|0",选配,选配,无,无,无,无,有,有,无,无,有,有,有,后方影像,有,有,LED,有,"自动开闭,自动远近光,自动转向",无,"高度调节,大灯清洗",单天窗,有,无,"电动调节,电动折叠,后视镜记忆,后视镜加热",,有,有,选配|5800,无,无,感应雨刷,无,无,无,无,无,遥控中控,"无钥匙启动,智能进入|8000",无,无,有,无,无,"塑料,皮质,金属,碳纤维",有,有,皮质,有,"上下调节,前后调节",无,有,双温区自动空调,自动空调,无,无,无,无,皮质,有,带记忆电动调节,电动调节,"靠背调节,高低调节,腰部调节,腿托调节,前后调节","靠背调节,高低调节,腰部调节,腿托调节,前后调节",无,无,"加热,按摩","无,加热|4600",有,有,无,按比例放倒,有,无,普通液晶屏,有,有,有,GPS导航,有,语音控制,"CarPlay,CarLife",无,无,单碟cd,蓝牙,"AUX,USB,SD卡槽",无,"无,B＆O|12000","9-12,12个以上|12000",无,无,8.3,无,有,无
136596,1.5T 双离合 领航版,https://img3.bitautoimg.com/autoalbum/files/20191128/983/201911282726_2.jpg,5362,博瑞PHEV,博瑞PHEV,boruige,2020,在产,在销,,http://baa.bitauto.com/,中型车,"墨玉黑,#000000|夜星蓝,#3260ac|磁性灰,#51555b|火焰红,#701f1c|晶钻白,#ffffff",18.18万,14.28-18.18万,2.90万,4年或10万公里,1.5,涡轮增压,,7,双离合,210,19,8,2019,三厢,插电混合,4986,1861,1513,2870,1790,5,502,50,215/55 R17,215/55 R17,非全尺寸,4年或10万公里,,,,,,,,,,0,,120,1477,1.5,132,180,5500,265,1500-4000,直列,3,涡轮增压,直喷,,92号,无,双离合,7,210,7.4,1.5,国六,60,160,60,160,,,11.3,0,0,18.8,60,8年 15万公里,,192,425,,,,,前轮驱动,双叉臂式独立悬架,多连杆式独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,无,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,有,有,无,无,无,无,无,后方影像,有,无,LED,有,自动开闭,无,高度调节,全景天窗,有,有,"电动调节,后视镜加热",,无,无,无,无,无,感应雨刷,无,无,无,无,无,遥控中控,"智能进入,无钥匙启动",远程启动,无,无,无,无,"塑料,皮质",无,有,皮质,有,"上下调节,前后调节",无,无,双温区自动空调,手动空调,无,无,无,无,皮质,无,电动调节,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,有,无,无,有,无,触控式液晶屏,有,有,无,"GPS导航,实时路况,在线地图",有,智能语音控制,无,无,无,无,"蓝牙,wifi",USB,无,无,5月6日,无,无,10.2,无,有,有
136597,1.5T 双离合 耀享版,https://img4.bitautoimg.com/autoalbum/files/20191223/949/20191223232_2.jpg,5362,博瑞PHEV,博瑞PHEV,boruige,2020,在产,在销,,http://baa.bitauto.com/,中型车,"墨玉黑,#000000|夜星蓝,#3260ac|磁性灰,#51555b|火焰红,#701f1c|晶钻白,#ffffff",18.98万,14.98-18.98万,3.20万,4年或10万公里,1.5,涡轮增压,,7,双离合,210,19,8,2019,三厢,插电混合,4986,1861,1513,2870,1790,5,502,50,215/55 R17,215/55 R17,非全尺寸,4年或10万公里,,,,,,,,,,0,,120,1477,1.5,132,180,5500,265,1500-4000,直列,3,涡轮增压,直喷,,92号,无,双离合,7,210,7.4,1.5,国六,60,160,60,160,,,11.3,0,0,18.8,60,8年 15万公里,,192,425,,,,,前轮驱动,双叉臂式独立悬架,多连杆式独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,ACC自适应巡航,无,有,无,无,无,无,有,有,无,无,无,无,有,后方影像,有,无,LED,有,自动开闭,无,高度调节,全景天窗,有,有,"电动调节,后视镜加热",,无,无,无,无,无,感应雨刷,无,无,无,自动感应,无,遥控中控,"智能进入,无钥匙启动",远程启动,无,无,无,无,"塑料,皮质",有,有,皮质,有,"上下调节,前后调节",无,无,双温区自动空调,手动空调,无,无,无,无,皮质,无,电动调节,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,有,无,无,有,无,触控式液晶屏,有,有,无,"GPS导航,实时路况,在线地图",有,智能语音控制,无,无,无,无,"蓝牙,wifi",USB,无,无,7月8日,无,无,12.3,无,有,有
136598,1.5T 双离合 耀领版,https://img2.bitautoimg.com/autoalbum/files/20190826/945/20190826193006306231236_2.jpg,5362,博瑞PHEV,博瑞PHEV,boruige,2020,在产,在销,,http://baa.bitauto.com/,中型车,"墨玉黑,#000000|夜星蓝,#3260ac|磁性灰,#51555b|火焰红,#701f1c|晶钻白,#ffffff",20.98万,17.08-20.98万,3.40万,4年或10万公里,1.5,涡轮增压,,7,双离合,210,19,8,2019,三厢,插电混合,4986,1861,1513,2870,1840,5,502,50,235/45 R18,235/45 R18,非全尺寸,4年或10万公里,,,,,,,,,,0,,120,1477,1.5,132,180,5500,265,1500-4000,直列,3,涡轮增压,直喷,,92号,无,双离合,7,210,7.4,1.5,国六,60,160,60,160,,,11.3,0,0,18.8,60,8年 15万公里,,192,425,,,,,前轮驱动,双叉臂式独立悬架,多连杆式独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,有,无,无,有,无,有,ACC自适应巡航,有,有,无,有,无,无,有,有,无,无,无,有,有,360度全景摄像,有,有,LED,有,"自动开闭,自动远近光",无,高度调节,全景天窗,有,有,"电动调节,电动折叠,后视镜加热",,有,无,无,无,无,感应雨刷,无,无,无,自动感应,无,遥控中控,"智能进入,无钥匙启动",远程启动,无,无,无,无,"塑料,皮质",有,有,皮质,有,"上下调节,前后调节",无,无,双温区自动空调,手动空调,无,无,无,无,皮质,无,电动调节,电动调节,"靠背调节,高低调节,腰部调节,前后调节","靠背调节,高低调节,前后调节",无,无,加热,无,有,有,无,无,有,无,触控式液晶屏,有,有,无,"GPS导航,实时路况,在线地图",有,智能语音控制,无,有,无,无,"蓝牙,wifi",USB,无,Infinity,7月8日,无,无,12.3,无,有,有
138429,劲擎版,https://img3.bitautoimg.com/autoalbum/files/20200329/43/202003292225_2.jpg,6156,长安CS15 E-Pro,长安CS15 E-Pro,changanepro,2020,在产,在销,,http://baa.bitauto.com/,小型SUV,"闪光深海蓝,#1a55ae|炫动红,#A0241D|闪光炫彩橙黄,#c14919|月光白,#ffffff",10.69万,7.99-10.09万,1.70万,3年或12万公里,,,,,单速变速箱,,10,12,2019,SUV,纯电,4135,1740,1630,2520,1530,5,,,205/55 R16,205/55 R16,无备胎,3年或12万公里,,,,,,,,,,,,,,,,,,,,,,,,,,,单速变速箱,,,9.9,,,120,245,120,245,,,48.3,8.7,0.5,0,401,8年 12万公里,,,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,盘式,手拉式,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,无,无,无,无,无,有,无,有,无,无,无,无,无,无,无,无,有,无,无,无,无,无,无,无,无,卤素,无,无,无,高度调节,无,有,有,电动调节,,无,无,无,无,无,有,后雨刷,无,无,无,有,遥控中控,无,无,无,无,无,无,塑料,无,无,塑料,无,上下调节,无,无,手动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,按比例放倒,无,无,无,无,无,无,无,无,无,无,无,无,无,蓝牙,USB,无,无,2月4日,无,无,,无,无,无
138430,激擎版,https://img3.bitautoimg.com/autoalbum/files/20200329/43/202003292225_2.jpg,6156,长安CS15 E-Pro,长安CS15 E-Pro,changanepro,2020,在产,在销,,http://baa.bitauto.com/,小型SUV,"闪光深海蓝,#1a55ae|炫动红,#A0241D|闪光炫彩橙黄,#c14919|月光白,#ffffff",11.69万,8.99-11.09万,1.00万,3年或12万公里,,,,,单速变速箱,,10,12,2019,SUV,纯电,4135,1740,1630,2520,1530,5,,,205/55 R16,205/55 R16,无备胎,3年或12万公里,,,,,,,,,,,,,,,,,,,,,,,,,,,单速变速箱,,,9.9,,,120,245,120,245,,,48.3,8.7,0.5,0,401,8年 12万公里,,,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,无,无,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,有,后方影像,有,无,卤素,有,无,无,高度调节,无,有,有,电动调节,,无,无,无,无,无,有,后雨刷,无,无,无,有,遥控中控,无,"远程解锁,远程通风",无,无,无,无,塑料,无,有,塑料,有,上下调节,无,无,手动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,按比例放倒,无,无,触控式液晶屏,无,有,无,"GPS导航,实时路况",无,智能语音控制,无,无,无,无,蓝牙,USB,无,无,2月4日,无,无,10.25,无,有,有
138431,纵擎版,https://img3.bitautoimg.com/autoalbum/files/20191225/847/201912251724582458208158_2.jpg,6156,长安CS15 E-Pro,长安CS15 E-Pro,changanepro,2020,在产,在销,,http://baa.bitauto.com/,小型SUV,"闪光深海蓝,#1a55ae|炫动红,#A0241D|闪光炫彩橙黄,#c14919|月光白,#ffffff",12.69万,9.99-12.09万,1.10万,3年或12万公里,,,,,单速变速箱,,10,12,2019,SUV,纯电,4135,1740,1630,2520,1530,5,,,205/55 R16,205/55 R16,无备胎,3年或12万公里,,,,,,,,,,,,,,,,,,,,,,,,,,,单速变速箱,,,9.9,,,120,245,120,245,,,48.3,8.7,0.5,0,401,8年 12万公里,,,,,,,,前轮驱动,麦弗逊式独立悬架,扭力梁式非独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,无,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,有,后方影像,有,无,卤素,有,自动开闭,无,高度调节,全景天窗,有,有,"电动调节,电动折叠,后视镜加热",,无,无,无,无,无,有,后雨刷,无,无,无,有,遥控中控,"智能进入,无钥匙启动","远程解锁,远程通风",无,无,无,无,塑料,无,有,皮质,有,上下调节,无,无,手动空调,无,无,无,无,无,织物皮质混合,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,按比例放倒,无,无,触控式液晶屏,无,有,无,"GPS导航,实时路况",无,智能语音控制,无,无,无,无,蓝牙,USB,无,无,5月6日,无,无,10.25,无,有,有
133881,探酷版,https://img3.bitautoimg.com/autoalbum/files/20191107/837/20191107163717371713344_2.jpg,5526,逸动ET,逸动ET,yidonget,2019,在产,在销,,http://baa.bitauto.com/,紧凑型车,"碧玺黑,#000000|闪光深海蓝,#0079AE|耀动红,#A72023|钛光银灰,#A7A7A7|冰晶白,#ffffff",13.29万,11.99-12.79万,2.45万,3年或10万公里,,,,,单速变速箱,140,11,5,2019,两厢,纯电,4535,1820,1530,2700,1650,5,,,215/50 R17,215/50 R17,无备胎,3年或10万公里,,,,,,,,,,0,,,,,,,,,,,,,,,,,单速变速箱,,140,11,,,100,245,100,245,,,53,9,0.5,13.8,405,8年 12万公里,,,,,,,,前轮驱动,麦弗逊式独立悬架,多连杆式独立悬架,无,盘式,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,无,无,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,有,后方影像,有,无,卤素,有,自动开闭,无,高度调节,单天窗,有,有,"电动调节,后视镜加热",,无,无,无,无,无,有,后雨刷,无,无,无,无,遥控中控,"智能进入,无钥匙启动",无,无,无,无,,塑料,无,有,塑料,有,"上下调节,前后调节",无,无,自动空调,无,无,无,无,无,皮质,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,有,无,按比例放倒,有,无,触控式液晶屏,无,有,无,GPS导航,无,无,无,无,无,无,"蓝牙,wifi",USB,无,无,5月6日,无,无,7,无,,
134063,创酷版,https://img1.bitautoimg.com/autoalbum/files/20190514/511/201905140055195519219257_2.jpg,5526,逸动ET,逸动ET,yidonget,2019,在产,在销,,http://baa.bitauto.com/,紧凑型车,"碧玺黑,#000000|闪光深海蓝,#0079AE|耀动红,#A72023|钛光银灰,#A7A7A7|冰晶白,#ffffff",14.29万,12.99-13.79万,2.45万,3年或10万公里,,,,,单速变速箱,140,11,5,2019,两厢,纯电,4535,1820,1530,2700,1650,5,,,215/50 R17,215/50 R17,无备胎,3年或10万公里,,,,,,,,,,0,,,,,,,,,,,,,,,,,单速变速箱,,140,11,,,100,245,100,245,,,53,9,0.5,13.8,405,8年 12万公里,,,,,,,,前轮驱动,麦弗逊式独立悬架,多连杆式独立悬架,无,盘式,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,有,有,无,无,无,有,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,有,后方影像,有,无,LED,有,自动开闭,无,高度调节,单天窗,有,有,"电动调节,电动折叠,后视镜记忆,后视镜加热",,无,无,无,无,无,有,后雨刷,无,无,无,无,遥控中控,"智能进入,无钥匙启动","远程解锁,远程通风,远程启动",无,无,无,,塑料,无,有,皮质,有,"上下调节,前后调节",无,无,自动空调,无,无,有,无,无,皮质,无,带记忆电动调节,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,加热,无,有,有,无,按比例放倒,有,无,触控式液晶屏,无,有,无,GPS导航,有,语音控制,无,无,无,无,"蓝牙,wifi",USB,无,无,5月6日,无,无,10,无,,
141079,EV460 共享版,https://img3.bitautoimg.com/autoalbum/files/20200507/444/202005072141124112125305_2.jpg,4930,逸动EV,逸动EV,yidongev,2019,在产,在销,,http://baa.bitauto.com/eado/,紧凑型车,"碧玺黑,#000000|闪光深海蓝,#007cac|钛光银灰,#c6c6c6|耀动红,#ff041a|闪光冰晶白,#ffffff",13.99万,10.88-13.79万,,3年或10万公里,,,,1,单速变速箱,,22,4,2020,三厢,纯电,4740,1820,1530,2700,1650,5,,,215/50 R17,215/50 R17,无备胎,3年或10万公里,,,,,,,,,,,,,,,,,,,,,,,,,,,单速变速箱,1,,,,,100,245,100,245,,,52.56,0,0.5,12.3,405,8年 12万公里,,,,,,,,前轮驱动,麦弗逊式独立悬架,多连杆式独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,无,无,无,无,无,无,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,有,无,无,无,卤素,有,无,有,高度调节,无,有,有,"电动调节,后视镜加热",,无,无,无,无,无,有,无,无,无,无,无,遥控中控,无,无,无,无,无,无,塑料,无,有,塑料,无,上下调节,无,无,自动空调,无,无,无,无,无,皮质,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,无,无,无,无,无,有,无,无,无,无,无,无,无,单碟dvd,无,USB,无,无,2月4日,无,无,,无,无,无
131245,EV460 智享版,https://img3.bitautoimg.com/autoalbum/files/20190629/300/201906292244464446213328_2.jpg,4930,逸动EV,逸动EV,yidongev,2018,在产,在销,,http://baa.bitauto.com/eado/,紧凑型车,"碧玺黑,#000000|闪光深海蓝,#007cac|棕色,#7a4627|钛光银灰,#c6c6c6|耀动红,#ff041a|闪光冰晶白,#ffffff",12.99万,12.99-12.99万,5.66万,3年或10万公里,,,,1,单速变速箱,,18,10,2018,三厢,纯电,4740,1820,1530,2700,1650,5,,,215/50 R17,215/50 R17,无备胎,3年或10万公里,,,,,,,,,,,,,,,,,,,,,,,,,,,单速变速箱,1,,,,,100,245,100,245,,,52.56,0,0.5,12.3,405,8年 12万公里,,,,,,,,前轮驱动,麦弗逊式独立悬架,多连杆式独立悬架,无,通风盘,盘式,电子驻车,承载式,无,,,,,,,,,,,,有,有,有,有,有,有,有,无,无,无,无,无,无,无,无,有,定速巡航,无,无,无,无,无,无,无,有,无,无,无,无,有,后方影像,无,无,卤素,有,无,有,高度调节,无,有,有,"电动调节,后视镜加热",,无,无,无,无,无,有,无,无,无,无,无,遥控中控,无,无,无,无,无,无,塑料,无,有,塑料,有,上下调节,无,无,自动空调,无,无,无,无,无,织物,无,无,无,"靠背调节,高低调节,前后调节","靠背调节,前后调节",无,无,无,无,有,无,无,无,无,无,触控式液晶屏,无,有,无,GPS导航,无,无,手机互联,无,无,单碟dvd,"蓝牙,wifi",USB,无,无,2月4日,无,无,7,无,无,无
